Name New_Price Preowned_Price Download_Price Other_Price Console Genre
"Uncharted 4 - The Only on PlayStation Collection - GAME Exclusive" 15.99 0.0 0.0 14.72 "PlayStation 4" Action/Adventure
"Far Cry 5" 0.0 19.99 19.99 18.85 "Xbox One" Action/Adventure
"Ratchet and Clank - The Only on PlayStation Collection - GAME ..." 15.99 19.99 19.99 16.99 "PlayStation 4" Action/Adventure
"Just Cause 3" 0.0 7.99 7.99 5.46 "Xbox One" Action/Adventure
"Tom Clancy's Rainbow Six: Siege" 14.99 12.99 12.99 16.69 "PlayStation 4" Action/Adventure
"Shadow of the Colossus - The Only on PlayStation Collection - ..." 29.99 19.99 19.99 27.88 "PlayStation 4" Action/Adventure
"God of War" 0.0 14.99 14.99 18.11 "PlayStation 4" Action/Adventure
"Grand Theft Auto V" 0.0 24.99 24.99 0.0 PC Action/Adventure
"Assassin's Creed: Origins" 19.99 12.99 12.99 15.95 "Xbox One" Action/Adventure
"Watch Dogs 2" 0.0 12.99 12.99 8.99 "PlayStation 4" Action/Adventure
"Ghostbusters The Video Game Remastered" 29.99 0.0 0.0 0.0 Switch Action/Adventure
"Tom Clancy's Rainbow Six: Siege 600 Credits Pack" 0.0 3.99 3.99 0.0 "Xbox One" Action/Adventure
"Watch Dogs" 0.0 7.99 7.99 8.51 "PlayStation 4" Action/Adventure
"Hitman 2" 19.99 19.99 19.99 17.21 "PlayStation 4" Action/Adventure
"Assassin's Creed Odyssey: Helix Credits Medium Pack" 0.0 15.99 15.99 0.0 "Xbox One" Action/Adventure
"Hello Neighbor" 0.0 22.99 22.99 0.0 "Xbox One" Action/Adventure
"The Last Of Us Remastered" 0.0 12.99 12.99 9.79 "PlayStation 4" Action/Adventure
"Grand Theft Auto V" 0.0 19.99 19.99 21.99 "Xbox One" Action/Adventure
"Uncharted 4: A Thief's End" 0.0 12.99 12.99 13.74 "PlayStation 4" Action/Adventure
"Dishonored 2" 0.0 7.99 7.99 6.65 "PlayStation 4" Action/Adventure
"Uncharted: The Lost Legacy" 0.0 12.99 12.99 16.67 "PlayStation 4" Action/Adventure
"Tom Clancy's Ghost Recon: Wildlands" 0.0 12.99 12.99 14.85 "PlayStation 4" Action/Adventure
"Assassin's Creed: Odyssey" 0.0 24.99 24.99 20.72 "Xbox One" Action/Adventure
Moss 11.95 0.0 0.0 25.75 "PlayStation 4" Action/Adventure
"Far Cry 5 Gold Edition" 0.0 12.99 12.99 34.99 "PlayStation 4" Action/Adventure
"Yoshi's Crafted World" 44.99 42.99 42.99 46.86 Switch Action/Adventure
"Detroit: Become Human" 0.0 19.99 19.99 15.65 "PlayStation 4" Action/Adventure
"Super Mario Maker 2" 44.99 42.99 42.99 47.86 Switch Action/Adventure
"inFAMOUS: Second Son" 0.0 7.99 7.99 9.75 "PlayStation 4" Action/Adventure
"Anthem - with Exclusive Edge of Resolve Skin" 17.99 7.99 7.99 7.11 "Xbox One" Action/Adventure
"Dead Rising 4" 49.99 7.99 7.99 7.1 "Xbox One" Action/Adventure
"No Man's Sky Beyond" 24.99 0.0 0.0 14.98 "PlayStation 4" Action/Adventure
